"year","pool_size","backlog_n2plus","odds_n0","odds_n1","odds_n2","odds_n3","rookie_slots","formula","growth"
2029,1253,196,0.0155881602735991,0.0602142358197838,0.21380552714993,0.604952075945928,11.5,"base4",0.1
2030,1390,226,0.0126964157217194,0.049400598521722,0.178825148017169,0.529951239847194,10.2,"base4",0.1
2031,1541,259,0.0103129931805304,0.0405436403025701,0.14907704687388,0.461911117224797,9.2,"base4",0.1
2032,1709,296,0.00837619077781385,0.0329626676412702,0.124702241027235,0.398349186817952,8.6,"base4",0.1
2033,1889,338,0.00690673136416305,0.0271204890130502,0.102852645965484,0.344636627583937,7.1,"base4",0.1
2034,2090,381,0.00566978307168994,0.0223921572043042,0.084922194133673,0.292673876543772,6.3,"base4",0.1
2027,1014,152,0.0184174688792772,0.0716919201938605,0.261326461307135,0.690513883735185,11,"base4_kflat",0.1
2028,1130,171,0.0179548618625975,0.0698375360512337,0.248947901438184,0.679651145245213,12.5,"base4_kflat",0.1
2029,1256,197,0.0151603551707904,0.0587463062231634,0.214319497540096,0.609221739891254,11.2,"base4_kflat",0.1
2030,1390,225,0.0122063769885907,0.0481114644029475,0.176708207880345,0.533370274015005,10.3,"base4_kflat",0.1
2031,1541,260,0.0100545035545452,0.0394422353387193,0.148548641936963,0.46777294163509,9.4,"base4_kflat",0.1
2032,1707,297,0.00827937121500479,0.0326795492345636,0.123371310000444,0.404838655478597,8,"base4_kflat",0.1
2033,1888,338,0.00672977838693424,0.0266337196838878,0.101525259507574,0.344343640053192,7.3,"base4_kflat",0.1
2034,2093,381,0.00544622465626384,0.0216704433003658,0.0838352428636695,0.290790128994156,6.4,"base4_kflat",0.1
2027,1015,150,0.0178488116713485,0.0746704723836066,0.260107696702161,0.694261003904482,10.8,"caleb",0.1
2028,1130,171,0.017402950308977,0.0730089496519928,0.252417484521518,0.680766091512994,11.8,"caleb",0.1
2029,1253,195,0.0146293002619725,0.061670839798981,0.217188731293651,0.614395498370034,10.8,"caleb",0.1
2030,1389,225,0.0118198924737117,0.0499556467747636,0.179449278150332,0.537836145347956,10.2,"caleb",0.1
2031,1539,257,0.00974203253716805,0.0414662293779416,0.15016189265717,0.470682081162639,9.3,"caleb",0.1
2032,1710,298,0.0079291758441733,0.0339386289624223,0.124084608652628,0.403828047558218,8.3,"caleb",0.1
2033,1890,339,0.00640133450613076,0.0274364281315965,0.101442528198078,0.341464872964215,6.8,"caleb",0.1
2034,2091,378,0.00529186139399552,0.0227255084800218,0.084557915122285,0.291536551414769,6,"caleb",0.1
2027,1015,151,0.0186724756399657,0.0724432659425405,0.264725572547416,0.693698750759164,11.6,"base4_expsvc",0.1
2028,1130,170,0.0184242811084158,0.0716394163654104,0.252310630465081,0.674272054115434,12.9,"base4_expsvc",0.1
2029,1253,195,0.0154154116349952,0.0598908632042779,0.215688725724548,0.601790740956852,11.5,"base4_expsvc",0.1
2030,1390,227,0.0124675195672954,0.0487867297119024,0.178518936607367,0.527300994928543,10.1,"base4_expsvc",0.1
2031,1542,259,0.0102416725811602,0.0400432765810809,0.149404615918114,0.460915219772743,9.1,"base4_expsvc",0.1
2032,1707,299,0.00828694004894477,0.0327972463921989,0.123089078146948,0.395435250534158,8.4,"base4_expsvc",0.1
2033,1889,339,0.00672862550401499,0.0265590123680015,0.101121917246382,0.336548204639889,7.3,"base4_expsvc",0.1
2034,2093,383,0.00552524899031488,0.0219303466365246,0.084158810623965,0.290666062986009,6.7,"base4_expsvc",0.1
2027,1103,151,0.0503367140361911,0.0929575549646595,0.177154203059876,0.322659210611521,35.9,"current",0.25
2028,1374,181,0.0405277666456899,0.0750702358306318,0.140981740958366,0.262892580523779,35.4,"current",0.25
2029,1724,235,0.0315318432182922,0.0587431786851194,0.110669323409692,0.205852193858735,35.2,"current",0.25
2030,2171,304,0.0243840291871679,0.0458203015824789,0.0868182094418334,0.163299748032307,32.7,"current",0.25
2031,2737,397,0.0186495999534217,0.0349058510859626,0.0669989050176739,0.127474181929094,32,"current",0.25
2032,3454,522,0.0141989662192562,0.0267549252562861,0.0511560900580037,0.0986824592018763,31,"current",0.25
2033,4345,677,0.0107742592510867,0.020372811006743,0.039245696656275,0.0756097957444687,27.8,"current",0.25
2034,5460,866,0.00828635701790941,0.0156144382325214,0.0301270349263077,0.0586453177098963,28.1,"current",0.25
2027,1098,151,0.0284257127359176,0.0820308292758738,0.231722856180026,0.541348671288628,20.9,"base3",0.25
2028,1367,173,0.0242892113580568,0.0703577071902705,0.194647135230247,0.477823188689359,21.6,"base3",0.25
2029,1719,223,0.0186672973846138,0.0547662332671283,0.153233748101348,0.385274236901303,20.2,"base3",0.25
2030,2167,293,0.0135692557354874,0.0401943976703491,0.114290635526187,0.300232555547357,17.8,"base3",0.25
2031,2733,385,0.00979743174691011,0.0289516616747348,0.0839817782843417,0.227225840356015,16.8,"base3",0.25
