"formula","growth","cohort","kind","yr","value"
"current",0.3,2030,"realised",4,0.0536052740008241
"current",0.3,2030,"realised",5,0.0591882983106716
"base3",0.3,2027,"persistent",1,0.0283093333478885
"base3",0.3,2027,"persistent",2,0.0956424936358826
"base3",0.3,2027,"persistent",3,0.225182206948549
"base3",0.3,2027,"persistent",4,0.433352542454905
"base3",0.3,2027,"persistent",5,0.702848883278381
"base3",0.3,2027,"realised",1,0.0288104929895975
"base3",0.3,2027,"realised",2,0.0598824061510629
"base3",0.3,2027,"realised",3,0.09280868385346
"base3",0.3,2027,"realised",4,0.120985979194934
"base3",0.3,2027,"realised",5,0.141429217548621
"base3",0.3,2027,"realised",6,0.149163274536409
"base3",0.3,2027,"realised",7,0.150927182270466
"base3",0.3,2027,"realised",8,0.151017639077341
"base3",0.3,2030,"persistent",1,0.0118683171336283
"base3",0.3,2030,"persistent",2,0.0362672707201057
"base3",0.3,2030,"persistent",3,0.0845581213820403
"base3",0.3,2030,"persistent",4,0.174658120325369
"base3",0.3,2030,"persistent",5,0.331676105376867
"base3",0.3,2030,"realised",1,0.0112896580140091
"base3",0.3,2030,"realised",2,0.0221260815822002
"base3",0.3,2030,"realised",3,0.0349608570251339
"base3",0.3,2030,"realised",4,0.0471157807993407
"base3",0.3,2030,"realised",5,0.0586526576019778
"base4",0.3,2027,"persistent",1,0.0180161803050544
"base4",0.3,2027,"persistent",2,0.0809015315664836
"base4",0.3,2027,"persistent",3,0.235789336907141
"base4",0.3,2027,"persistent",4,0.525027588932326
"base4",0.3,2027,"persistent",5,0.856878609237592
"base4",0.3,2027,"realised",1,0.0180009045680687
"base4",0.3,2027,"realised",2,0.0469470827679783
"base4",0.3,2027,"realised",3,0.0859791949344188
"base4",0.3,2027,"realised",4,0.123609226594301
"base4",0.3,2027,"realised",5,0.14640434192673
"base4",0.3,2027,"realised",6,0.152826775214835
"base4",0.3,2027,"realised",7,0.15291723202171
"base4",0.3,2027,"realised",8,0.15291723202171
"base4",0.3,2030,"persistent",1,0.00781759732495835
"base4",0.3,2030,"persistent",2,0.0277626934158537
"base4",0.3,2030,"persistent",3,0.0766259305053574
"base4",0.3,2030,"persistent",4,0.188403579070675
"base4",0.3,2030,"persistent",5,0.411576539297006
"base4",0.3,2030,"realised",1,0.00751957148743304
"base4",0.3,2030,"realised",2,0.0166048619695097
"base4",0.3,2030,"realised",3,0.0293984342810054
"base4",0.3,2030,"realised",4,0.0446435929130614
"base4",0.3,2030,"realised",5,0.0624639472599918
"base4_kflat",0.3,2027,"persistent",1,0.0184713964668859
"base4_kflat",0.3,2027,"persistent",2,0.0809885836246534
"base4_kflat",0.3,2027,"persistent",3,0.236230705491078
"base4_kflat",0.3,2027,"persistent",4,0.528246828814528
"base4_kflat",0.3,2027,"persistent",5,0.860768549679543
"base4_kflat",0.3,2027,"realised",1,0.0180461329715061
"base4_kflat",0.3,2027,"realised",2,0.0459972862957938
"base4_kflat",0.3,2027,"realised",3,0.0843057440072366
"base4_kflat",0.3,2027,"realised",4,0.123925825418363
"base4_kflat",0.3,2027,"realised",5,0.149434644957033
"base4_kflat",0.3,2027,"realised",6,0.154635911352329
"base4_kflat",0.3,2027,"realised",7,0.154862053369516
"base4_kflat",0.3,2027,"realised",8,0.154862053369516
"base4_kflat",0.3,2030,"persistent",1,0.00768178655773177
"base4_kflat",0.3,2030,"persistent",2,0.027333707354901
"base4_kflat",0.3,2030,"persistent",3,0.0760094612154038
"base4_kflat",0.3,2030,"persistent",4,0.188698955349259
"base4_kflat",0.3,2030,"persistent",5,0.418543383319811
"base4_kflat",0.3,2030,"realised",1,0.00706633704161516
"base4_kflat",0.3,2030,"realised",2,0.015327564894932
"base4_kflat",0.3,2030,"realised",3,0.0279151215492377
"base4_kflat",0.3,2030,"realised",4,0.0437165224557066
"base4_kflat",0.3,2030,"realised",5,0.0609806345282242
"caleb",0.3,2027,"persistent",1,0.0174441102412314
"caleb",0.3,2027,"persistent",2,0.0822182263566927
"caleb",0.3,2027,"persistent",3,0.23554157485148
"caleb",0.3,2027,"persistent",4,0.523576915721794
"caleb",0.3,2027,"persistent",5,0.863060356378354
"caleb",0.3,2027,"realised",1,0.0169154228855721
"caleb",0.3,2027,"realised",2,0.0454545454545455
"caleb",0.3,2027,"realised",3,0.0846223428312981
"caleb",0.3,2027,"realised",4,0.123383084577114
"caleb",0.3,2027,"realised",5,0.146811397557666
"caleb",0.3,2027,"realised",6,0.153098145635459
"caleb",0.3,2027,"realised",7,0.153233830845771
"caleb",0.3,2027,"realised",8,0.153233830845771
"caleb",0.3,2030,"persistent",1,0.00725851427249646
"caleb",0.3,2030,"persistent",2,0.0278300465930872
"caleb",0.3,2030,"persistent",3,0.0764402253422324
"caleb",0.3,2030,"persistent",4,0.187291459567849
"caleb",0.3,2030,"persistent",5,0.417909971444954
"caleb",0.3,2030,"realised",1,0.00690152451586321
"caleb",0.3,2030,"realised",2,0.0157395962093119
"caleb",0.3,2030,"realised",3,0.0279769262463947
"caleb",0.3,2030,"realised",4,0.0432426864441698
"caleb",0.3,2030,"realised",5,0.0604243922538113
